,entity,description,category,node_occurence_flag
1439,repository,the URL of the Git repository to be cloned,database,Single
1441,directory,the directory within the volume where the repository will be cloned,process,Single
1449,Git,a version control system,software,Single
1450,GitHub,a web-based platform for version control and collaboration,application,Single
1455,sidecar container,a secondary container that augments the operation of a main container,container,Single
1456,Git sync process,a process that keeps a local directory synchronized with a Git repository,process,Single
1457,SSH protocol,a secure communication protocol for secure shell access,protocol,Single
1467,database pod,a pod that stores data in a hostPath volume,pod,Single
1469,fluentd-kubia-4ebc2f1e-9a3e pod,a pod that uses hostPath volumes to access node's data,pod,Single
1470,varlog volume,a hostPath volume that accesses the node's /var/log directory,volume,Single
1471,varlibdockercontainers volume,a hostPath volume that accesses the node's /var/lib/docker/containers directory,volume,Single
1472,Minikube pod,a pod used for testing persistent storage in single-node clusters,pod,Single
1474,CA certificates,the node's CA certificates accessed by hostPath volumes,file,Single
1475,kubectl get pod command,a command used to list pods in a namespace,command,Single
1476,kubectl describe po command,a command used to describe a pod's details,command,Single
1478,hostPath volumes,A type of volume that allows reading or writing system files on a node.,volume,Single
1481,gcloud command,A command-line tool for managing Google Cloud resources.,command,Single
1483,pod volume,A type of storage that allows data to be persisted within a pod.,volume,Single
1486,gce persistent disk,a type of persistent storage used by Google Cloud Engine,hardware,Single
1487,mongodb,a database management system,software,Single
1491,gce persistent disk volume,"a type of persistent storage used by Google Cloud Engine, attached to a container",hardware,Single
1494,/data/db,the path where MongoDB stores its data,hardware,Single
1497,mongodb-pod-hostpath.yaml,the YAML file for a pod using a hostPath volume,application,Single
1498,gcepd.yaml,the YAML file for a pod using a GCE Persistent Disk volume,application,Single
1505,JSON document,A type of data that can be stored in a MongoDB database.,data format,Single
1506,find() command,A MongoDB command used to retrieve documents from a collection.,command,Single
1507,insert() command,A MongoDB command used to insert a new document into a collection.,command,Single
1508,GCE persistent disk,"A type of storage that persists data even after a pod is deleted or recreated, provided by Google Cloud Engine.",hardware,Single
1514,mongodb://127.0.0.1:27017,MongoDB connection string,database,Single
1515,ObjectId,Data type in MongoDB for object IDs,database,Single
1518,azureFile,Type of volume used for persistent storage on Microsoft Azure,volume,Single
1527,volumeId,unique identifier for a volume,process,Single
1530,NFS volume,network file system storage option,database,Single
1543,fc,storage option for Fibre Channel connections,hardware,Single
1545,Persistent Volume,Provisioned storage resource,database,Single
1550,NFS export,Network File System export,database,Single
1551,PersistentVolumeClaim (PVC),Request for persistent storage,database,Single
1552,PersistentVolume (PV),Provisioned storage resource,database,Single
1557,Cluster administrator,User responsible for setting up storage resources,role,Single
1558,Application developer,User responsible for using persistent storage,role,Single
1561,PersistentVolumeReclaimPolicy,Policy for reclaiming a PersistentVolume,software,Single
1563,ReadOnlyMany,Access mode for a PersistentVolume,access mode,Single
1580,PersistentVolumeClaim manifest,A YAML file defining a PersistentVolumeClaim,configuration,Single
1585,cluster Nodes,The nodes of a Kubernetes cluster,hardware,Single
1586,Namespace A,A namespace in a Kubernetes cluster,application,Single
1587,User A,A user in a Kubernetes cluster,user,Single
1600,RWO,ReadWriteOnce access mode (only one node can read and write),hardware,Single
1601,ROX,ReadOnlyMany access mode (multiple nodes can read),hardware,Single
1602,RWX,ReadWriteMany access mode (multiple nodes can read and write),hardware,Single
1624,claims,requests for persistent storage,software,Single
1645,GCE Persistent Disks,type of storage resource provided by Google Cloud Platform,hardware,Single
1648,Delete,persistentVolumeReclaimPolicy to delete the underlying storage,software,Single
1650,Retain policy,a reclaim policy for PersistentVolumes that retains the data on deletion,software,Single
1651,Delete policy,a reclaim policy for PersistentVolumes that deletes the data on deletion,software,Single
1655,PersistentVolume provisioner,a component that provisions PersistentVolumes dynamically,software,Single
1658,PersistentVolumeClaim 1,a specific PersistentVolumeClaim resource,software,Single
1660,Pod 2,a specific Pod resource,software,Single
1661,PersistentVolumeClaim 2,a specific PersistentVolumeClaim resource,software,Single
1662,Pod 3,a specific Pod resource,software,Single
1663,Dynamic Provisioning,Provisioning of PersistentVolumes on demand,process,Single
1677,PersistentDisk (PD),Storage type provided by Google Compute Engine,database,Single
1678,GCE,Google Cloud Platform service,application,Single
1679,PVC definition,Definition of a PersistentVolumeClaim,process,Single
1681,storageclass-fast-gcepd.yaml,File containing the StorageClass definition,file,Single
1682,mongodb-pvc-dp.yaml,Updated PVC definition with dynamic provisioning,database,Single
1693,fast StorageClass,A custom storage class used in the example,database,Single
1694,kubectl get pvc,A command to list Persistent Volume Claims,command,Single
1700,gcloud compute disks list,A command to list Compute Engine disks,command,Single
1701,kubernetes.io/gce-pd provisioner,The provisioner used by the fast StorageClass,process,Single
1703,storage class,A storage class with different performance or other characteristics,database,Single
1709,Persistent disk,A persistent storage device attached to a pod,hardware,Single
1710,SSD,"Solid-State Drive, a type of fast storage device",hardware,Single
1712,fast storage class,A custom storage class created by the user,database,Single
1713,standard storage class,The default storage class provided by GKE or Minikube,database,Single
1719,standard,default storage class in GKE cluster,storage class,Single
1724,storageclass.beta.kubernetes.io/is-default-class,annotation to mark a storage class as default,annotation,Single
1727,pd-standard,type of GCE PD to create,storage class parameter,Single
1735,100Mi,amount of storage requested by the PVC,storage request,Single
1744,compute disks list,A command used with gcloud to retrieve information about compute disks,software,Single
1749,dynamic volume provisioner,A component that provisions PersistentVolumes dynamically,software,Single
1770,command-line options,arguments passed to an application when it is run from the command line,software,Single
1777,config file,file containing configuration options,application,Single
1779,Docker containers,containerized applications,container,Single
1780,Kubernetes resources,top-level Kubernetes resource for storing configuration data,database,Single
1795,docker exec,command used to execute a command inside a running container,application,Single
1796,ps x,Unix command used to list processes running in the system,application,Single
1797,docker exec -it,command used to execute a command inside a running container with interactive shell,application,Single
1800,ENTRYPOINT instruction,a command in a Dockerfile that specifies the default command to run when the container is started,software,Single
1801,CMD instruction,a command in a Dockerfile that specifies the default arguments for the ENTRYPOINT command,software,Single
1804,apt-get update,a command used to update the package index in Ubuntu,software,Single
1805,apt-get -y install fortune,a command used to install the fortune program in Ubuntu,software,Single
1807,interval,a variable that specifies the delay interval between fortunes,software,Single
1808,PID 1,the process ID of the shell process,process,Single
1809,PID 7,the process ID of the node process,process,Single
1810,shell,a command-line interface for interacting with the operating system,software,Single
1811,exec form,a way to specify a default command in a Dockerfile using the ENTRYPOINT instruction,software,Single
1812,docker build,a command used to build a Docker image from a Dockerfile,software,Single
1813,docker push,"a command used to push a Docker image to a registry, such as Docker Hub",software,Single
1816,Control+C,Keyboard shortcut to stop the script,process,Single
1817,docker.io/luksa/fortune:args,Docker image with custom argument handling,image,Single
1823,/bin/command,Custom command to override the ENTRYPOINT,command,Single
1824,"arg1, arg2, arg3",Custom arguments to pass to the container,arguments,Single
1826,fortune-pod-args.yaml,Modified Kubernetes pod definition file with custom arguments,file,Single
1833,fortune:args,a specific Docker image that generates a new fortune every two seconds,container,Single
1834,fortune:latest,"a specific Docker image, but not specified what it does",container,Single
1838,FOO=BAR,an environment variable with key FOO and value BAR,environment variable,Single
1839,ABC=123,an environment variable with key ABC and value 123,environment variable,Single
1840,Container A,"the first container in the pod, with its own set of environment variables",container,Single
1841,Container B,"the second container in the pod, with its own set of environment variables",container,Single
1845,trap,Bash command used to catch and handle signals (e.g. SIGINT),software,Single
1846,SIGINT,Signal sent when the user presses Ctrl+C,hardware,Single
1847,mkdir,Bash command used to create a new directory,software,Single
1849,while,Bash command used to create a loop that runs indefinitely,software,Single
1851,/usr/games/fortune,Command used to generate a new fortune,software,Single
1852,System.getenv,Java method used to retrieve an environment variable,software,Single
1853,process.env,Node.js property used to access environment variables,software,Single
1854,os.environ,Python dictionary used to store environment variables,software,Single
1857,container definition,YAML file used to specify the configuration for a container,hardware,Single
1864,ConfigMap resource,a source for environment variable values using the valueFrom instead of the value field,database,Single
1866,$(VAR) syntax,referencing previously defined environment variables or any other existing variables,process,Single
1867,FIRST_VAR,an environment variable with value 'foo',process,Single
1868,SECOND_VAR,an environment variable with value '$(FIRST_VAR)bar',process,Single
1876,Kubernetes REST API endpoint,an API endpoint for accessing ConfigMap data,network,Single
1880,configMap volume,a volume that provides access to a ConfigMap's data,hardware,Single
1881,key1=value1,an example key-value pair within a ConfigMap,software,Single
1882,key2=value2,another example key-value pair within a ConfigMap,software,Single
1883,app-config,a ConfigMap with a specific name and namespace,software,Single
1884,development values,example configuration data for the development environment,software,Single
1885,production values,example configuration data for the production environment,software,Single
1888,create configmap command,a special command for creating ConfigMaps,software,Single
1889,ConfigMap keys,"must be valid DNS subdomains and can contain alphanumeric characters, dashes, underscores, and dots",hardware,Single
1890,DNS subdomain,a subset of a domain name that is used to identify a specific resource or service,network,Single
1892,literal,a value that is specified directly in a command or configuration file,hardware,Single
1893,ConfigMap name,"the unique identifier for a ConfigMap, used to reference it in other commands and configurations",software,Single
1902,$ kubectl create -f fortune-config.yaml,A command to create a ConfigMap from a YAML file,command,Single
1904,--from-file=config-file.conf,An option to create a ConfigMap from a file,option,Single
1905,--from-literal=some=thing,An option to create a ConfigMap from a literal value,option,Single
1906,/path/to/dir,A directory path used to import files into a ConfigMap,directory,Single
1908,bar=foobar.conf,A file stored under a custom key in a ConfigMap,file,Single
1909,config-opts/,A directory used to import files into a ConfigMap,directory,Single
1910,some=thing,A literal value used to create a ConfigMap,value,Single
1918,my-conﬁg,the name of a ConfigMap,software,Single
1921,abc,a value stored in the ConfigMap,string,Single
1923,true,the value of a boolean variable stored in the ConfigMap,boolean,Single
1924,repeat,a key-value pair stored in the ConfigMap,software,Single
1925,100,the value of an integer variable stored in the ConfigMap,integer,Single
1926,some thing,a key-value pair stored in the ConfigMap,string,Single
1927,foobar.conf,a file containing configuration data in JSON format,file,Single
1931,ConfigMapKeyRef,"A reference to a ConfigMap key, used to initialize environment variables in containers.",software,Single
1942,envFrom,An attribute used to expose all entries of a ConfigMap as environment variables.,software,Single
1944,prefix,An optional attribute used to specify a prefix for environment variables.,software,Single
1945,CONFIG_FOO,An example environment variable created by using the envFrom attribute.,software,Single
1946,CONFIG_BAR,Another example environment variable created by using the envFrom attribute.,software,Single
1947,FOO-BAR,A ConfigMap key that is not converted to a valid environment variable name.,software,Single
1948,my-config-map,An example ConfigMap used in the listing.,software,Single
1949,some-image,The image used in the container.,software,Single
1955,configMapVolume,a special volume type that exposes ConfigMap entries as files,software,Single
1964,luksa/fortune:args,the Docker image that takes an integer argument,software,Single
1969,Nginx web server,web server software used in the example,software,Single
1970,fortuneloop.sh script,script used to configure the Nginx web server,software,Single
1971,Config file,file containing configuration data for an application,software,Single
1973,server_name,directive in Nginx config file specifying the server name,software,Single
1974,listen directive,directive in Nginx config file specifying the port number to listen on,software,Single
1975,gzip_types,directive in Nginx config file specifying the types of files to compress,software,Single
1976,location directive,directive in Nginx config file specifying the location of a resource,software,Single
1977,root directive,directive in Nginx config file specifying the root directory for a resource,software,Single
1978,index directive,directive in Nginx config file specifying the index files to serve,software,Single
1979,configmap-files,directory containing configuration files used to create a ConfigMap,hardware,Single
1988,ConfigMap's entries,The key-value pairs stored in a ConfigMap.,software,Single
1990,/etc/nginx/nginx.conf,The default Nginx configuration file.,file,Single
1991,/etc/nginx/conf.d/,A directory where Nginx automatically includes .conf files.,directory,Single
2005,port-forwarding,the process of forwarding traffic from a local port to a remote port in the pod,process,Single
2011,fortune-configmap-volume,a pod with a ConfigMap volume mounted to it,application,Single
2013,items attribute,a configuration option for specifying which ConfigMap entries should be exposed as files in a volume,software,Single
2017,gzip.conf,a file containing compressed configuration data,file,Single
2025,gzip.conf file,a configuration file for Nginx that enables gzip compression,file,Single
2026,subPath property,an additional property on the volumeMount that allows you to mount a single file or directory from a ConfigMap,property,Single
2027,/etc directory,a system directory in Linux that contains important configuration files,directory,Single
2029,myconfig.conf file,a configuration file stored in a ConfigMap volume,file,Single
2033,subPath,A property used to mount part of a volume instead of the whole volume.,software,Single
2034,file permissions,The default permissions set for files in a ConfigMap volume (644 or -rw-r—r--).,hardware,Single
2045,fortune-config Config-Map,A specific ConfigMap used as an example in the chapter.,software,Single
2047,Nginx config file,A configuration file used by Nginx to determine how to handle requests.,file,Single
2050,nginx -s reload,A command used to signal Nginx to reload its configuration files.,command,Single
2051,config file changes,The ability of an app to detect and respond to changes in its configuration files.,process,Single
2052,symbolic links,A feature used by Kubernetes to update all files in a configMap volume atomically.,hardware,Single
2058,files,mounted into existing directories don't get updated,hardware,Single
2059,directories,symbolic links pointing to files in the ..data dir,hardware,Single
2060,symlinks,pointing to files in the ..data dir,software,Single
2061,ConfigMap-backed volumes,a way to pass configuration data to containers,software,Single
2065,processes,new process will also see the new config,hardware,Single
2066,encryption keys,sensitive information that needs to be kept secure,software,Single
2067,credentials,sensitive information that needs to be kept secure,software,Single
2071,files in a volume,exposing Secret entries as files in a volume,process,Single
2082,default-token-cfee9,Name of a Secret object in the default namespace.,object,Single
2088,automountServiceAccountToken,Field in the pod spec that controls whether the default token Secret is mounted into containers.,field,Single
2098,create secret,a command used to create a Secret in a Kubernetes cluster,command,Single
2099,ConfigMaps and Secrets,a chapter title in the document,software,Single
2111,create secret tls,a command for creating a TLS Secret,command,Single
2115,Base64 encoding,a method for encoding binary data as plain-text,process,Single
2116,binary values,data that is not in plain-text format,software,Single
2117,1MB,the maximum size limit of a Secret,hardware,Single
2127,stringData field,a write-only field in a Secret that allows setting values through plain text,software,Single
2135,Base64-encoded,a way to encode binary data for storage,software,Single
2140,fortune-https Secret,a Secret containing certificates and keys for HTTPS,software,Single
2142,fortune-config ConfigMap,a specific ConfigMap used in the example,software,Single
2144,ssl_certificate,SSL certificate file,software,Single
2145,certs/https.cert,Path to SSL certificate file,hardware,Single
2146,ssl_certificate_key,SSL key file,software,Single
2147,certs/https.key,Path to SSL key file,hardware,Single
2148,ssl_protocols,Supported SSL protocols,software,Single
2149,TLSv1 TLSv1.1 TLSv1.2,List of supported SSL protocols,hardware,Single
2150,ssl_ciphers,Supported SSL ciphers,software,Single
2151,HIGH:!aNULL:!MD5,List of supported SSL ciphers,hardware,Single
2152,location /,Nginx configuration directive,software,Single
2155,index.html index.htm,List of index files,hardware,Single
2157,/etc/nginx/certs,Path to secret volume holding certificate and key files,hardware,Single
2159,apiVersion: v1,Kubernetes API version,software,Single
2160,kind: Pod,Type of Kubernetes resource,hardware,Single
2162,name: fortune-https,Name of the pod,hardware,Single
2165,image: luksa/fortune:env,Image for the html-generator container,software,Single
2177,readOnly: true,Flag indicating whether the volume is read-only,software,Single
2179,containerPort: 80,Exposed port for the web-server container,software,Single
2184,items,a list of key-value pairs for a configMap,software,Single
2190,mount,the process of attaching a volume to a container,software,Single
2205,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,encryption algorithm,algorithm,Single
2206,tmpfs,in-memory filesystem,filesystem,Single
2207,Secret volume,mounting a Secret in a container's directory tree,process,Single
2210,FOO_SECRET,environment variable exposing the foo key from a Secret,variable,Single
2215,secretKeyRef,a way to refer to a Secret in Kubernetes,command,Single
2218,image registries,repositories that store Docker images,database,Single
2219,private image registry,an image registry that requires credentials to access,database,Single
2224,entry,a single piece of data stored in a Secret,database,Single
2227,docker-registry,type of Secret for authenticating with a Docker registry,software,Single
2229,.dockercfg,file containing Docker Hub credentials,software,Single
2233,username/private:tag,image name and tag for a private Docker Hub repository,software,Single
2241,docker-registry Secret,a way to store sensitive data and use it to pull images from a private image registry,software,Single
2243,token Secret,used to talk to the API server from within a pod,software,Single
2252,Kubernetes client libraries,libraries that provide access to the Kubernetes API server,library,Single
2261,Pod manifest,"A YAML or JSON file that defines a pod's configuration, including its metadata and status.",file,Single
2264,DownwardAPI volume,A Kubernetes resource that exposes metadata from the pod to the processes running inside it.,volume,Single
2269,memory requests,The CPU and memory requests for each container,process,Single
2270,CPU limits,The CPU and memory limits for each container,process,Single
2271,memory limits,The CPU and memory limits for each container,process,Single
2284,status.podIP,the IP address of the pod,kubernetes,Single
2286,spec.nodeName,the name of the node on which the container is running,kubernetes,Single
2295,divisor,a divisor used to calculate the value of a resource field,kubernetes,Single
2297,CPU limits and requests,Resource constraints for container execution.,process,Single
2298,Memory limits/requests,Resource constraints for container memory usage.,process,Single
2306,POD_NAME,An environment variable that specifies the name of the pod.,environmental variable,Single
2336,/etc/downward/labels,A file within the container that contains the pod's labels.,Filesystem,Single
2337,/etc/downward/annotations,A file within the container that contains the pod's annotations.,Filesystem,Single
2338,/podName,A placeholder for the name of the pod.,Kubernetes,Single
2339,/podNamespace,A placeholder for the namespace of the pod.,Kubernetes,Single
2345,/etc/downward/,mounted volume directory,filesystem,Single
2350,podName,file containing pod name,file,Single
2351,podNamespace,file containing pod namespace,file,Single
2355,labels and annotations,metadata fields exposed through downwardAPI volume,software,Single
2356,key=value format,format of labels and annotations in files,software,Single
2357,"
",newline character used to denote multi-line values,character,Single
2359,container-level metadata,"Information about a container, such as resource limits or requests.",metadata,Single
2361,containerName,The name of the container whose resource field is being referenced.,parameter,Single
2372,REST endpoints,Kubernetes API server's REST endpoints,application,Single
2373,kubectl cluster-info,Command to get Kubernetes master URL,command,Single
2379,app process,Application process running inside a pod,application,Single
2381,proxy,Kubernetes API server proxy,software,Single
2383,authorization token,token used for authorization with the API server,software,Single
2387,/api/v1,API path for Kubernetes v1 API group,network,Single
2389,/apis/apps,API path for Kubernetes apps API group,network,Single
2390,/apis/apps/v1beta1,API path for Kubernetes apps v1beta1 API version,network,Single
2391,/apis/batch,API path for Kubernetes batch API group,network,Single
2392,/apis/batch/v1,API path for Kubernetes batch v1 API version,network,Single
2393,/apis/batch/v2alpha1,API path for Kubernetes batch v2alpha1 API version,network,Single
2399,API groups,Grouping of API resources,software,Single
2400,Batch API group,API group for batch jobs,software,Single
2402,APIResourceList,API resource list object,software,Single
2405,APIResource,API resource object,software,Single
2408,v2alpha1,Deprecated version of the batch API group,software,Single
2416,update,action to update a resource fully,software,Single
2418,jobs/status,special REST endpoint for modifying the status of a Job,software,Single
2419,JobList,resource type that represents a list of Jobs,software,Single
2423,REST API server,The interface through which applications interact with the Kubernetes cluster.,application,Single
2429,my-job,The name of a specific Job instance.,application,Single
2434,tutum/curl image,A container image containing the curl binary,container image,Single
2447,port 443,Default port for HTTPS,hardware,Single
2448,SSL certificate,Secure Sockets Layer certificate,security,Single
2449,-k option,Insecure option for curl,application,Single
2451,default-token-xyz,Automatically created Secret,software,Single
2454,--cacert option,Option to specify CA certificate,application,Single
2457,CURL_CA_BUNDLE,An environment variable that specifies the CA bundle to use,environment variable,Single
2458,/var/run/secrets/kubernetes.io/,A directory containing secrets and certificates for Kubernetes,directory,Single
2459,serviceaccount/ca.crt,A certificate used to verify the identity of the API server,file,Single
2463,TOKEN environment variable,An environment variable that stores the authentication token,environment variable,Single
2467,/ui/,A path in the Kubernetes API server for accessing the UI,path,Single
2468,Authorization HTTP header,A header used to pass a token for authentication,network,Single
2473,NS environment variable,An environment variable used to store the namespace of a pod,process,Single
2474,TOKEN,A token used for authentication with the API server,network,Single
2476,PUT or PATCH requests,HTTP requests used to update API objects,network,Single
2482,system:serviceaccounts,A group used to grant privileges to service accounts,network,Single
2485,API server's certificate,A digital certificate used to authenticate the API server.,certificate,Single
2486,Certificate Authority (CA),An entity responsible for issuing and managing digital certificates.,software,Single
2487,ca.crt file,"A file containing the CA's public key, used to verify the API server's certificate.",file,Single
2488,Bearer token,An authentication token sent in the Authorization header to authenticate with the API server.,token,Single
2490,Namespace file,"A file containing the namespace, used to pass it to the API server when performing CRUD operations.",file,Single
2491,"CRUD (Create, Read, Update, Delete)",A set of HTTP methods used to perform operations on API objects.,protocol,Single
2492,POST method,An HTTP method used to create a new resource.,http-method,Single
2493,GET method,An HTTP method used to read an existing resource.,http-method,Single
2494,PATCH/PUT method,An HTTP method used to update or replace a resource.,http-method,Single
2495,DELETE method,An HTTP method used to delete a resource.,http-method,Single
2496,Ambassador containers,"Containers that simplify API server communication by handling HTTPS, certificates, and authentication tokens.",container,Single
2497,Server certificate,A digital certificate used to authenticate the API server.,certificate,Single
2498,Default token secret volume,"A file containing the default token, used to authenticate with the API server.",file,Single
2499,kubectl proxy command,a command used to access the API server through a proxy,command,Single
2501,ambassador container pattern,a design pattern that uses an ambassador container to proxy requests to the API server,pattern,Single
2502,kubectl-proxy container image,a general-purpose container image used as an ambassador container,image,Single
2507,HTTP,the protocol used for communication between containers in a pod,protocol,Single
2519,API server proxy,Component of Kubernetes that provides a proxy to the API server,software,Single
2521,port 8001,Default port used by kubectl proxy,software,Single
2522,Kubernetes API client libraries,Existing Kubernetes API client libraries supported by the API Machinery special interest group (SIG),software,Single
2523,Golang client,Kubernetes API client library for Golang,software,Single
2524,Python client,Kubernetes API client library for Python,software,Single
2525,Java client by Fabric8,User-contributed Kubernetes API client library for Java by Fabric8,software,Single
2526,Java client by Amdatu,User-contributed Kubernetes API client library for Java by Amdatu,software,Single
2527,Node.js client by tenxcloud,User-contributed Kubernetes API client library for Node.js by tenxcloud,software,Single
2528,Node.js client by GoDaddy,User-contributed Kubernetes API client library for Node.js by GoDaddy,software,Single
2529,PHP client,User-contributed Kubernetes API client library for PHP,software,Single
2530,Another PHP client,User-contributed Kubernetes API client library for PHP,software,Single
2535,Ruby,A programming language,software,Single
2536,https://github.com/Ch00k/kubr,A Ruby client library for Kubernetes,software,Single
2537,Another Ruby client,A Ruby client library for Kubernetes,software,Single
2538,https://github.com/abonas/kubeclient,A Ruby client library for Kubernetes,software,Single
2539,Clojure,A programming language,software,Single
2540,https://github.com/yanatan16/clj-kubernetes-api,A Clojure client library for Kubernetes,software,Single
2541,Scala,A programming language,software,Single
2542,https://github.com/doriordan/skuber,A Scala client library for Kubernetes,software,Single
2543,Perl,A programming language,software,Single
2544,https://metacpan.org/pod/Net::Kubernetes,A Perl client library for Kubernetes,software,Single
2545,Fabric8 Java Client,A Java client library for Kubernetes,software,Single
2546,io.fabric8.kubernetes.api.model.Pod,A Kubernetes Pod object,software,Single
2547,io.fabric8.kubernetes.api.model.PodList,A list of Kubernetes Pods,software,Single
2548,DefaultKubernetesClient,A default Kubernetes client,software,Single
2549,KubernetesClient,A Kubernetes client interface,software,Single
2551,inNamespace,A method to get pods in a specific namespace,software,Single
2553,getItems,A method to get the items in a pod list,software,Single
2554,stream,A method to stream the results of an operation,software,Single
2555,forEach,A method to iterate over a collection,software,Single
2556,getMetadata,A method to get the metadata of an object,software,Single
2557,getName,A method to get the name of an object,software,Single
2558,createNew,A method to create a new pod,software,Single
2562,addToLabels,A method to add labels to a pod,command,Single
2563,endMetadata,A method to end metadata for a pod,command,Single
2564,done,A method to indicate the completion of an operation,command,Single
2565,System.out.println,A statement to print output to the console,statement,Single
2566,Thread.sleep,A method to pause execution for a specified time,method,Single
2567,client.pods().inNamespace,A method to access pods in a specific namespace,command,Single
2570,Swagger API,An API framework for generating client libraries and documentation,framework,Single
2571,OpenAPI spec,A specification for defining APIs in a machine-readable format,specification,Single
2572,Swagger UI,A web-based interface for exploring and interacting with REST APIs,interface,Single
2580,CPU requests and limits,CPU requests and limits refer to the amount of CPU resources allocated to a pod.,resource,Single
2581,memory requests and limits,Memory requests and limits refer to the amount of memory resources allocated to a pod.,resource,Single
2589,client libraries,Client libraries are pre-built libraries that provide a simple interface for interacting with Kubernetes.,library,Single
2595,config data,secret and non-secret configuration data passed to pods,software,Single
2596,microservices,smaller components that make up a full-fledged system,application,Single
2599,Deployment resources,Kubernetes resources used by Deployments to manage applications,software,Single
2600,rolling updates,the process of updating pods with newer versions while minimizing downtime,process,Single
2601,rollouts,the process of deploying new versions of an application,process,Single
2602,reverting,the process of reverting pods to a previous version,process,Single
2618,Downtime,Short period of time when the application is not available due to updates,hardware,Single
2633,set selector,A command used to update the pod selector of a Service resource.,software,Single
2638,NodeJS,programming language and runtime environment,software,Single
2666,get svc kubia,kubectl command to retrieve information about a service named 'kubia',software,Single
2668,cluster-ip,unique IP address assigned to a Service within a Kubernetes cluster,network,Single
2669,external-ip,"publicly accessible IP address of a Service, used for accessing the application from outside the cluster",network,Single
2675,IfNotPresent,imagePullPolicy value that only pulls an image if it's not already present in the local cache,software,Single
2680,response.end(),"method for sending a response back to the client, used in Node.js applications",programming language,Single
2686,kubia-v2,The image name for the kubia app version 2.,software,Single
2707,--v option,A kubectl flag that enables verbose logging,command,Single
2712,Kubernetes master,the central component of a Kubernetes cluster,hardware,Single
2719,verbose logging option,an option for running kubectl commands with detailed logging,software,Single
2733,kubia-deployment-v1.yaml,A YAML manifest that defines a Deployment resource.,file,Single
2738,kubia Service,A service that provides access to the kubia app,application,Single
2740,--record,An option used to record the command in the revision history,command,Single
2741,kubectl get deployment,A command used to see details of the Deployment,command,Single
2743,kubectl rollout status deployment kubia,A command used to check the status of a Deployment's rollout,command,Single
2746,kubia-1506449474-otnnh,A pod created by the Deployment,software,Single
2747,kubia-1506449474-vmn7s,A pod created by the Deployment,software,Single
2748,kubia-1506449474-xis6m,A pod created by the Deployment,software,Single
2757,Recreate strategy,"A deployment strategy that deletes all old pods at once and then creates new ones, similar to modifying a ReplicationController's pod template.",software,Single
2758,RollingUpdate strategy,The default deployment strategy that performs a rolling update by replacing one or more replicas with new ones while keeping the overall number of replicas constant.,software,Single
2763,kubectl patch command,A command for modifying a single property or limited number of properties of a resource without editing its definition in a text editor,command,Single
2764,minReadySeconds attribute,An attribute that can be set on a Deployment to slow down the update process,attribute,Single
2765,Deployment spec,"The specification of a Deployment, which includes properties like desired replica count and deployment strategy",specification,Single
2766,kubectl set image command,A command for changing the image used in a container (like Deployments),command,Single
2767,nodejs container,A container that runs the Node.js application,container,Single
2771,Image registry,A place where images are stored,database,Single
2780,kubectl patch,A command to modify individual properties of an object,command,Single
2782,kubectl replace,A command to replace an object with a new one from a YAML/JSON file,command,Single
2783,kubia-deployment-v2.yaml,A YAML file containing the full definition of a resource,file,Single
2786,v1 pods,pods running the v1 version of an app,container,Single
2787,v2 pods,pods running the v2 version of an app,container,Single
2792,ReplicaSet v1,an instance of ReplicaSet running the v1 version,software,Single
2793,ReplicaSet v2,an instance of ReplicaSet running the v2 version,software,Single
2803,requestCount,A variable that keeps track of the number of requests,variable,Single
2807,500 error,An internal server error with an HTTP status code of 500,error,Single
2816,kubia-1914148340-lalmx,A specific pod name.,pod,Single
2817,internal error,An error that occurs within the application.,error,Single
2818,kubectl rollout undo,The command to roll back a Deployment.,command,Single
2822,rollout history,displaying a deployment's rollout history using kubectl command,application,Single
2825,--record command-line option,option for recording the cause of changes in Deployments,software,Single
2826,CHANGE-CAUSE column,column in the revision history that shows the reason for each change,database,Single
2827,revisionHistoryLimit property,property on the Deployment resource that limits the length of the revision history,application,Single
2828,ReplicaSet list,list of ReplicaSets associated with a Deployment,database,Single
2830,revision history,"history of changes to a Deployment, stored in ReplicaSets",database,Single
2831,--to-revision option,option for specifying the revision to roll back to,software,Single
2832,undo command,command for rolling back a Deployment to a previous revision,application,Single
2835,revisionHistoryLimit,A property that controls the number of revisions kept by a Deployment,software,Single
2836,apps/v1beta2,A version of Deployments,software,Single
2851,v1beta1,version of Deployments,software,Single
2852,extensions,API group in Kubernetes,network,Single
2855,Desired replica count,number of desired replicas for a deployment,process,Single
2860,resume,A command used to resume a paused Deployment and start the rollout process.,command,Single
2869,kubectl apply command,A command used to update the deployment with a readiness probe,command,Single
2892,readinessProbe,A mechanism to check if a pod is ready to serve traffic,process,Single
2894,kubia-deployment-v3-with-readinesscheck.yaml,A YAML file containing the deployment configuration,file,Single
2900,periodSeconds,The interval at which a readiness probe is executed,parameter,Single
2916,ProgressDeadlineExceeded,A condition that is displayed when the rollout can't make progress within the specified deadline.,condition,Single
2917,progressDeadlineSeconds,A property in the Deployment spec that sets the time after which a Deployment is considered failed if it can't make progress.,property,Single
2919,kubectl rollout undo deployment,A command used to abort a bad rollout by rolling back the Deployment.,command,Single
