,index,Unnamed: 0,entity,description,category,node_occurence_flag
460,460,1481,gcloud command,A command-line tool for managing Google Cloud resources.,command,Single
461,461,1483,pod volume,A type of storage that allows data to be persisted within a pod.,volume,Single
462,462,1486,gce persistent disk,a type of persistent storage used by Google Cloud Engine,hardware,Single
463,463,1487,mongodb,a database management system,software,Single
464,464,1491,gce persistent disk volume,"a type of persistent storage used by Google Cloud Engine, attached to a container",hardware,Single
465,465,1494,/data/db,the path where MongoDB stores its data,hardware,Single
466,466,1497,mongodb-pod-hostpath.yaml,the YAML file for a pod using a hostPath volume,application,Single
467,467,1498,gcepd.yaml,the YAML file for a pod using a GCE Persistent Disk volume,application,Single
468,468,1505,JSON document,A type of data that can be stored in a MongoDB database.,data format,Single
469,469,1506,find() command,A MongoDB command used to retrieve documents from a collection.,command,Single
470,470,1507,insert() command,A MongoDB command used to insert a new document into a collection.,command,Single
471,471,1508,GCE persistent disk,"A type of storage that persists data even after a pod is deleted or recreated, provided by Google Cloud Engine.",hardware,Single
472,472,1514,mongodb://127.0.0.1:27017,MongoDB connection string,database,Single
473,473,1515,ObjectId,Data type in MongoDB for object IDs,database,Single
474,474,1518,azureFile,Type of volume used for persistent storage on Microsoft Azure,volume,Single
475,475,1527,volumeId,unique identifier for a volume,process,Single
476,476,1530,NFS volume,network file system storage option,database,Single
477,477,1543,fc,storage option for Fibre Channel connections,hardware,Single
478,478,1545,Persistent Volume,Provisioned storage resource,database,Single
479,479,1550,NFS export,Network File System export,database,Single
480,480,1551,PersistentVolumeClaim (PVC),Request for persistent storage,database,Single
481,481,1552,PersistentVolume (PV),Provisioned storage resource,database,Single
482,482,1557,Cluster administrator,User responsible for setting up storage resources,role,Single
483,483,1558,Application developer,User responsible for using persistent storage,role,Single
484,484,1561,PersistentVolumeReclaimPolicy,Policy for reclaiming a PersistentVolume,software,Single
485,485,1563,ReadOnlyMany,Access mode for a PersistentVolume,access mode,Single
486,486,1580,PersistentVolumeClaim manifest,A YAML file defining a PersistentVolumeClaim,configuration,Single
487,487,1585,cluster Nodes,The nodes of a Kubernetes cluster,hardware,Single
488,488,1586,Namespace A,A namespace in a Kubernetes cluster,application,Single
489,489,1587,User A,A user in a Kubernetes cluster,user,Single
490,490,1600,RWO,ReadWriteOnce access mode (only one node can read and write),hardware,Single
491,491,1601,ROX,ReadOnlyMany access mode (multiple nodes can read),hardware,Single
492,492,1602,RWX,ReadWriteMany access mode (multiple nodes can read and write),hardware,Single
493,493,1624,claims,requests for persistent storage,software,Single
494,494,1645,GCE Persistent Disks,type of storage resource provided by Google Cloud Platform,hardware,Single
495,495,1648,Delete,persistentVolumeReclaimPolicy to delete the underlying storage,software,Single
496,496,1650,Retain policy,a reclaim policy for PersistentVolumes that retains the data on deletion,software,Single
497,497,1651,Delete policy,a reclaim policy for PersistentVolumes that deletes the data on deletion,software,Single
498,498,1655,PersistentVolume provisioner,a component that provisions PersistentVolumes dynamically,software,Single
499,499,1658,PersistentVolumeClaim 1,a specific PersistentVolumeClaim resource,software,Single
500,500,1660,Pod 2,a specific Pod resource,software,Single
501,501,1661,PersistentVolumeClaim 2,a specific PersistentVolumeClaim resource,software,Single
502,502,1662,Pod 3,a specific Pod resource,software,Single
503,503,1663,Dynamic Provisioning,Provisioning of PersistentVolumes on demand,process,Single
504,504,1677,PersistentDisk (PD),Storage type provided by Google Compute Engine,database,Single
505,505,1678,GCE,Google Cloud Platform service,application,Single
506,506,1679,PVC definition,Definition of a PersistentVolumeClaim,process,Single
507,507,1681,storageclass-fast-gcepd.yaml,File containing the StorageClass definition,file,Single
508,508,1682,mongodb-pvc-dp.yaml,Updated PVC definition with dynamic provisioning,database,Single
509,509,1693,fast StorageClass,A custom storage class used in the example,database,Single
510,510,1694,kubectl get pvc,A command to list Persistent Volume Claims,command,Single
511,511,1700,gcloud compute disks list,A command to list Compute Engine disks,command,Single
512,512,1701,kubernetes.io/gce-pd provisioner,The provisioner used by the fast StorageClass,process,Single
513,513,1703,storage class,A storage class with different performance or other characteristics,database,Single
514,514,1709,Persistent disk,A persistent storage device attached to a pod,hardware,Single
515,515,1710,SSD,"Solid-State Drive, a type of fast storage device",hardware,Single
516,516,1712,fast storage class,A custom storage class created by the user,database,Single
517,517,1713,standard storage class,The default storage class provided by GKE or Minikube,database,Single
518,518,1719,standard,default storage class in GKE cluster,storage class,Single
519,519,1724,storageclass.beta.kubernetes.io/is-default-class,annotation to mark a storage class as default,annotation,Single
520,520,1727,pd-standard,type of GCE PD to create,storage class parameter,Single
521,521,1735,100Mi,amount of storage requested by the PVC,storage request,Single
522,522,1744,compute disks list,A command used with gcloud to retrieve information about compute disks,software,Single
523,523,1749,dynamic volume provisioner,A component that provisions PersistentVolumes dynamically,software,Single
524,524,1770,command-line options,arguments passed to an application when it is run from the command line,software,Single
525,525,1777,config file,file containing configuration options,application,Single
526,526,1779,Docker containers,containerized applications,container,Single
527,527,1780,Kubernetes resources,top-level Kubernetes resource for storing configuration data,database,Single
528,528,1795,docker exec,command used to execute a command inside a running container,application,Single
529,529,1796,ps x,Unix command used to list processes running in the system,application,Single
530,530,1797,docker exec -it,command used to execute a command inside a running container with interactive shell,application,Single
531,531,1800,ENTRYPOINT instruction,a command in a Dockerfile that specifies the default command to run when the container is started,software,Single
532,532,1801,CMD instruction,a command in a Dockerfile that specifies the default arguments for the ENTRYPOINT command,software,Single
533,533,1804,apt-get update,a command used to update the package index in Ubuntu,software,Single
534,534,1805,apt-get -y install fortune,a command used to install the fortune program in Ubuntu,software,Single
535,535,1807,interval,a variable that specifies the delay interval between fortunes,software,Single
536,536,1808,PID 1,the process ID of the shell process,process,Single
537,537,1809,PID 7,the process ID of the node process,process,Single
538,538,1810,shell,a command-line interface for interacting with the operating system,software,Single
539,539,1811,exec form,a way to specify a default command in a Dockerfile using the ENTRYPOINT instruction,software,Single
540,540,1812,docker build,a command used to build a Docker image from a Dockerfile,software,Single
541,541,1813,docker push,"a command used to push a Docker image to a registry, such as Docker Hub",software,Single
542,542,1816,Control+C,Keyboard shortcut to stop the script,process,Single
543,543,1817,docker.io/luksa/fortune:args,Docker image with custom argument handling,image,Single
544,544,1823,/bin/command,Custom command to override the ENTRYPOINT,command,Single
545,545,1824,"arg1, arg2, arg3",Custom arguments to pass to the container,arguments,Single
546,546,1826,fortune-pod-args.yaml,Modified Kubernetes pod definition file with custom arguments,file,Single
547,547,1833,fortune:args,a specific Docker image that generates a new fortune every two seconds,container,Single
548,548,1834,fortune:latest,"a specific Docker image, but not specified what it does",container,Single
549,549,1838,FOO=BAR,an environment variable with key FOO and value BAR,environment variable,Single
550,550,1839,ABC=123,an environment variable with key ABC and value 123,environment variable,Single
551,551,1840,Container A,"the first container in the pod, with its own set of environment variables",container,Single
552,552,1841,Container B,"the second container in the pod, with its own set of environment variables",container,Single
553,553,1845,trap,Bash command used to catch and handle signals (e.g. SIGINT),software,Single
554,554,1846,SIGINT,Signal sent when the user presses Ctrl+C,hardware,Single
555,555,1847,mkdir,Bash command used to create a new directory,software,Single
556,556,1849,while,Bash command used to create a loop that runs indefinitely,software,Single
557,557,1851,/usr/games/fortune,Command used to generate a new fortune,software,Single
558,558,1852,System.getenv,Java method used to retrieve an environment variable,software,Single
559,559,1853,process.env,Node.js property used to access environment variables,software,Single
560,560,1854,os.environ,Python dictionary used to store environment variables,software,Single
561,561,1857,container definition,YAML file used to specify the configuration for a container,hardware,Single
562,562,1864,ConfigMap resource,a source for environment variable values using the valueFrom instead of the value field,database,Single
563,563,1866,$(VAR) syntax,referencing previously defined environment variables or any other existing variables,process,Single
564,564,1867,FIRST_VAR,an environment variable with value 'foo',process,Single
565,565,1868,SECOND_VAR,an environment variable with value '$(FIRST_VAR)bar',process,Single
566,566,1876,Kubernetes REST API endpoint,an API endpoint for accessing ConfigMap data,network,Single
567,567,1880,configMap volume,a volume that provides access to a ConfigMap's data,hardware,Single
568,568,1881,key1=value1,an example key-value pair within a ConfigMap,software,Single
569,569,1882,key2=value2,another example key-value pair within a ConfigMap,software,Single
570,570,1883,app-config,a ConfigMap with a specific name and namespace,software,Single
571,571,1884,development values,example configuration data for the development environment,software,Single
572,572,1885,production values,example configuration data for the production environment,software,Single
573,573,1888,create configmap command,a special command for creating ConfigMaps,software,Single
574,574,1889,ConfigMap keys,"must be valid DNS subdomains and can contain alphanumeric characters, dashes, underscores, and dots",hardware,Single
575,575,1890,DNS subdomain,a subset of a domain name that is used to identify a specific resource or service,network,Single
576,576,1892,literal,a value that is specified directly in a command or configuration file,hardware,Single
577,577,1893,ConfigMap name,"the unique identifier for a ConfigMap, used to reference it in other commands and configurations",software,Single
578,578,1902,$ kubectl create -f fortune-config.yaml,A command to create a ConfigMap from a YAML file,command,Single
579,579,1904,--from-file=config-file.conf,An option to create a ConfigMap from a file,option,Single
580,580,1905,--from-literal=some=thing,An option to create a ConfigMap from a literal value,option,Single
581,581,1906,/path/to/dir,A directory path used to import files into a ConfigMap,directory,Single
582,582,1908,bar=foobar.conf,A file stored under a custom key in a ConfigMap,file,Single
583,583,1909,config-opts/,A directory used to import files into a ConfigMap,directory,Single
584,584,1910,some=thing,A literal value used to create a ConfigMap,value,Single
585,585,1918,my-conﬁg,the name of a ConfigMap,software,Single
586,586,1921,abc,a value stored in the ConfigMap,string,Single
587,587,1923,true,the value of a boolean variable stored in the ConfigMap,boolean,Single
588,588,1924,repeat,a key-value pair stored in the ConfigMap,software,Single
589,589,1925,100,the value of an integer variable stored in the ConfigMap,integer,Single
590,590,1926,some thing,a key-value pair stored in the ConfigMap,string,Single
591,591,1927,foobar.conf,a file containing configuration data in JSON format,file,Single
592,592,1931,ConfigMapKeyRef,"A reference to a ConfigMap key, used to initialize environment variables in containers.",software,Single
593,593,1942,envFrom,An attribute used to expose all entries of a ConfigMap as environment variables.,software,Single
594,594,1944,prefix,An optional attribute used to specify a prefix for environment variables.,software,Single
595,595,1945,CONFIG_FOO,An example environment variable created by using the envFrom attribute.,software,Single
596,596,1946,CONFIG_BAR,Another example environment variable created by using the envFrom attribute.,software,Single
597,597,1947,FOO-BAR,A ConfigMap key that is not converted to a valid environment variable name.,software,Single
598,598,1948,my-config-map,An example ConfigMap used in the listing.,software,Single
599,599,1949,some-image,The image used in the container.,software,Single
600,600,1955,configMapVolume,a special volume type that exposes ConfigMap entries as files,software,Single
601,601,1964,luksa/fortune:args,the Docker image that takes an integer argument,software,Single
602,602,1969,Nginx web server,web server software used in the example,software,Single
603,603,1970,fortuneloop.sh script,script used to configure the Nginx web server,software,Single
604,604,1971,Config file,file containing configuration data for an application,software,Single
605,605,1973,server_name,directive in Nginx config file specifying the server name,software,Single
606,606,1974,listen directive,directive in Nginx config file specifying the port number to listen on,software,Single
607,607,1975,gzip_types,directive in Nginx config file specifying the types of files to compress,software,Single
608,608,1976,location directive,directive in Nginx config file specifying the location of a resource,software,Single
609,609,1977,root directive,directive in Nginx config file specifying the root directory for a resource,software,Single
610,610,1978,index directive,directive in Nginx config file specifying the index files to serve,software,Single
611,611,1979,configmap-files,directory containing configuration files used to create a ConfigMap,hardware,Single
612,612,1988,ConfigMap's entries,The key-value pairs stored in a ConfigMap.,software,Single
613,613,1990,/etc/nginx/nginx.conf,The default Nginx configuration file.,file,Single
614,614,1991,/etc/nginx/conf.d/,A directory where Nginx automatically includes .conf files.,directory,Single
615,615,2005,port-forwarding,the process of forwarding traffic from a local port to a remote port in the pod,process,Single
616,616,2011,fortune-configmap-volume,a pod with a ConfigMap volume mounted to it,application,Single
617,617,2013,items attribute,a configuration option for specifying which ConfigMap entries should be exposed as files in a volume,software,Single
618,618,2017,gzip.conf,a file containing compressed configuration data,file,Single
619,619,2025,gzip.conf file,a configuration file for Nginx that enables gzip compression,file,Single
620,620,2026,subPath property,an additional property on the volumeMount that allows you to mount a single file or directory from a ConfigMap,property,Single
621,621,2027,/etc directory,a system directory in Linux that contains important configuration files,directory,Single
622,622,2029,myconfig.conf file,a configuration file stored in a ConfigMap volume,file,Single
623,623,2033,subPath,A property used to mount part of a volume instead of the whole volume.,software,Single
624,624,2034,file permissions,The default permissions set for files in a ConfigMap volume (644 or -rw-r—r--).,hardware,Single
625,625,2045,fortune-config Config-Map,A specific ConfigMap used as an example in the chapter.,software,Single
626,626,2047,Nginx config file,A configuration file used by Nginx to determine how to handle requests.,file,Single
627,627,2050,nginx -s reload,A command used to signal Nginx to reload its configuration files.,command,Single
628,628,2051,config file changes,The ability of an app to detect and respond to changes in its configuration files.,process,Single
629,629,2052,symbolic links,A feature used by Kubernetes to update all files in a configMap volume atomically.,hardware,Single
630,630,2058,files,mounted into existing directories don't get updated,hardware,Single
631,631,2059,directories,symbolic links pointing to files in the ..data dir,hardware,Single
632,632,2060,symlinks,pointing to files in the ..data dir,software,Single
633,633,2061,ConfigMap-backed volumes,a way to pass configuration data to containers,software,Single
634,634,2065,processes,new process will also see the new config,hardware,Single
635,635,2066,encryption keys,sensitive information that needs to be kept secure,software,Single
636,636,2067,credentials,sensitive information that needs to be kept secure,software,Single
637,637,2071,files in a volume,exposing Secret entries as files in a volume,process,Single
638,638,2082,default-token-cfee9,Name of a Secret object in the default namespace.,object,Single
639,639,2088,automountServiceAccountToken,Field in the pod spec that controls whether the default token Secret is mounted into containers.,field,Single
640,640,2098,create secret,a command used to create a Secret in a Kubernetes cluster,command,Single
641,641,2099,ConfigMaps and Secrets,a chapter title in the document,software,Single
642,642,2111,create secret tls,a command for creating a TLS Secret,command,Single
643,643,2115,Base64 encoding,a method for encoding binary data as plain-text,process,Single
644,644,2116,binary values,data that is not in plain-text format,software,Single
645,645,2117,1MB,the maximum size limit of a Secret,hardware,Single
646,646,2127,stringData field,a write-only field in a Secret that allows setting values through plain text,software,Single
647,647,2135,Base64-encoded,a way to encode binary data for storage,software,Single
648,648,2140,fortune-https Secret,a Secret containing certificates and keys for HTTPS,software,Single
649,649,2142,fortune-config ConfigMap,a specific ConfigMap used in the example,software,Single
650,650,2144,ssl_certificate,SSL certificate file,software,Single
651,651,2145,certs/https.cert,Path to SSL certificate file,hardware,Single
652,652,2146,ssl_certificate_key,SSL key file,software,Single
653,653,2147,certs/https.key,Path to SSL key file,hardware,Single
654,654,2148,ssl_protocols,Supported SSL protocols,software,Single
655,655,2149,TLSv1 TLSv1.1 TLSv1.2,List of supported SSL protocols,hardware,Single
656,656,2150,ssl_ciphers,Supported SSL ciphers,software,Single
657,657,2151,HIGH:!aNULL:!MD5,List of supported SSL ciphers,hardware,Single
658,658,2152,location /,Nginx configuration directive,software,Single
659,659,2155,index.html index.htm,List of index files,hardware,Single
660,660,2157,/etc/nginx/certs,Path to secret volume holding certificate and key files,hardware,Single
661,661,2159,apiVersion: v1,Kubernetes API version,software,Single
662,662,2160,kind: Pod,Type of Kubernetes resource,hardware,Single
663,663,2162,name: fortune-https,Name of the pod,hardware,Single
664,664,2165,image: luksa/fortune:env,Image for the html-generator container,software,Single
665,665,2177,readOnly: true,Flag indicating whether the volume is read-only,software,Single
666,666,2179,containerPort: 80,Exposed port for the web-server container,software,Single
667,667,2184,items,a list of key-value pairs for a configMap,software,Single
668,668,2190,mount,the process of attaching a volume to a container,software,Single
669,669,2205,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,encryption algorithm,algorithm,Single
670,670,2206,tmpfs,in-memory filesystem,filesystem,Single
671,671,2207,Secret volume,mounting a Secret in a container's directory tree,process,Single
672,672,2210,FOO_SECRET,environment variable exposing the foo key from a Secret,variable,Single
673,673,2215,secretKeyRef,a way to refer to a Secret in Kubernetes,command,Single
674,674,2218,image registries,repositories that store Docker images,database,Single
675,675,2219,private image registry,an image registry that requires credentials to access,database,Single
676,676,2224,entry,a single piece of data stored in a Secret,database,Single
677,677,2227,docker-registry,type of Secret for authenticating with a Docker registry,software,Single
678,678,2229,.dockercfg,file containing Docker Hub credentials,software,Single
679,679,2233,username/private:tag,image name and tag for a private Docker Hub repository,software,Single
680,680,2241,docker-registry Secret,a way to store sensitive data and use it to pull images from a private image registry,software,Single
681,681,2243,token Secret,used to talk to the API server from within a pod,software,Single
682,682,2252,Kubernetes client libraries,libraries that provide access to the Kubernetes API server,library,Single
683,683,2261,Pod manifest,"A YAML or JSON file that defines a pod's configuration, including its metadata and status.",file,Single
684,684,2264,DownwardAPI volume,A Kubernetes resource that exposes metadata from the pod to the processes running inside it.,volume,Single
685,685,2269,memory requests,The CPU and memory requests for each container,process,Single
686,686,2270,CPU limits,The CPU and memory limits for each container,process,Single
687,687,2271,memory limits,The CPU and memory limits for each container,process,Single
688,688,2284,status.podIP,the IP address of the pod,kubernetes,Single
689,689,2286,spec.nodeName,the name of the node on which the container is running,kubernetes,Single
690,690,2295,divisor,a divisor used to calculate the value of a resource field,kubernetes,Single
691,691,2297,CPU limits and requests,Resource constraints for container execution.,process,Single
692,692,2298,Memory limits/requests,Resource constraints for container memory usage.,process,Single
693,693,2306,POD_NAME,An environment variable that specifies the name of the pod.,environmental variable,Single
694,694,2336,/etc/downward/labels,A file within the container that contains the pod's labels.,Filesystem,Single
695,695,2337,/etc/downward/annotations,A file within the container that contains the pod's annotations.,Filesystem,Single
696,696,2338,/podName,A placeholder for the name of the pod.,Kubernetes,Single
697,697,2339,/podNamespace,A placeholder for the namespace of the pod.,Kubernetes,Single
698,698,2345,/etc/downward/,mounted volume directory,filesystem,Single
699,699,2350,podName,file containing pod name,file,Single
700,700,2351,podNamespace,file containing pod namespace,file,Single
701,701,2355,labels and annotations,metadata fields exposed through downwardAPI volume,software,Single
702,702,2356,key=value format,format of labels and annotations in files,software,Single
703,703,2357,"
",newline character used to denote multi-line values,character,Single
704,704,2359,container-level metadata,"Information about a container, such as resource limits or requests.",metadata,Single
705,705,2361,containerName,The name of the container whose resource field is being referenced.,parameter,Single
706,706,2372,REST endpoints,Kubernetes API server's REST endpoints,application,Single
707,707,2373,kubectl cluster-info,Command to get Kubernetes master URL,command,Single
708,708,2379,app process,Application process running inside a pod,application,Single
709,709,2381,proxy,Kubernetes API server proxy,software,Single
710,710,2383,authorization token,token used for authorization with the API server,software,Single
711,711,2387,/api/v1,API path for Kubernetes v1 API group,network,Single
712,712,2389,/apis/apps,API path for Kubernetes apps API group,network,Single
713,713,2390,/apis/apps/v1beta1,API path for Kubernetes apps v1beta1 API version,network,Single
714,714,2391,/apis/batch,API path for Kubernetes batch API group,network,Single
715,715,2392,/apis/batch/v1,API path for Kubernetes batch v1 API version,network,Single
716,716,2393,/apis/batch/v2alpha1,API path for Kubernetes batch v2alpha1 API version,network,Single
717,717,2399,API groups,Grouping of API resources,software,Single
718,718,2400,Batch API group,API group for batch jobs,software,Single
719,719,2402,APIResourceList,API resource list object,software,Single
720,720,2405,APIResource,API resource object,software,Single
721,721,2408,v2alpha1,Deprecated version of the batch API group,software,Single
722,722,2416,update,action to update a resource fully,software,Single
723,723,2418,jobs/status,special REST endpoint for modifying the status of a Job,software,Single
724,724,2419,JobList,resource type that represents a list of Jobs,software,Single
725,725,2423,REST API server,The interface through which applications interact with the Kubernetes cluster.,application,Single
726,726,2429,my-job,The name of a specific Job instance.,application,Single
727,727,2434,tutum/curl image,A container image containing the curl binary,container image,Single
728,728,2447,port 443,Default port for HTTPS,hardware,Single
729,729,2448,SSL certificate,Secure Sockets Layer certificate,security,Single
730,730,2449,-k option,Insecure option for curl,application,Single
731,731,2451,default-token-xyz,Automatically created Secret,software,Single
732,732,2454,--cacert option,Option to specify CA certificate,application,Single
733,733,2457,CURL_CA_BUNDLE,An environment variable that specifies the CA bundle to use,environment variable,Single
734,734,2458,/var/run/secrets/kubernetes.io/,A directory containing secrets and certificates for Kubernetes,directory,Single
735,735,2459,serviceaccount/ca.crt,A certificate used to verify the identity of the API server,file,Single
736,736,2463,TOKEN environment variable,An environment variable that stores the authentication token,environment variable,Single
737,737,2467,/ui/,A path in the Kubernetes API server for accessing the UI,path,Single
738,738,2468,Authorization HTTP header,A header used to pass a token for authentication,network,Single
739,739,2473,NS environment variable,An environment variable used to store the namespace of a pod,process,Single
740,740,2474,TOKEN,A token used for authentication with the API server,network,Single
741,741,2476,PUT or PATCH requests,HTTP requests used to update API objects,network,Single
742,742,2482,system:serviceaccounts,A group used to grant privileges to service accounts,network,Single
743,743,2485,API server's certificate,A digital certificate used to authenticate the API server.,certificate,Single
744,744,2486,Certificate Authority (CA),An entity responsible for issuing and managing digital certificates.,software,Single
745,745,2487,ca.crt file,"A file containing the CA's public key, used to verify the API server's certificate.",file,Single
746,746,2488,Bearer token,An authentication token sent in the Authorization header to authenticate with the API server.,token,Single
747,747,2490,Namespace file,"A file containing the namespace, used to pass it to the API server when performing CRUD operations.",file,Single
748,748,2491,"CRUD (Create, Read, Update, Delete)",A set of HTTP methods used to perform operations on API objects.,protocol,Single
749,749,2492,POST method,An HTTP method used to create a new resource.,http-method,Single
750,750,2493,GET method,An HTTP method used to read an existing resource.,http-method,Single
751,751,2494,PATCH/PUT method,An HTTP method used to update or replace a resource.,http-method,Single
752,752,2495,DELETE method,An HTTP method used to delete a resource.,http-method,Single
753,753,2496,Ambassador containers,"Containers that simplify API server communication by handling HTTPS, certificates, and authentication tokens.",container,Single
754,754,2497,Server certificate,A digital certificate used to authenticate the API server.,certificate,Single
755,755,2498,Default token secret volume,"A file containing the default token, used to authenticate with the API server.",file,Single
756,756,2499,kubectl proxy command,a command used to access the API server through a proxy,command,Single
757,757,2501,ambassador container pattern,a design pattern that uses an ambassador container to proxy requests to the API server,pattern,Single
758,758,2502,kubectl-proxy container image,a general-purpose container image used as an ambassador container,image,Single
759,759,2507,HTTP,the protocol used for communication between containers in a pod,protocol,Single
760,760,2519,API server proxy,Component of Kubernetes that provides a proxy to the API server,software,Single
761,761,2521,port 8001,Default port used by kubectl proxy,software,Single
762,762,2522,Kubernetes API client libraries,Existing Kubernetes API client libraries supported by the API Machinery special interest group (SIG),software,Single
763,763,2523,Golang client,Kubernetes API client library for Golang,software,Single
764,764,2524,Python client,Kubernetes API client library for Python,software,Single
765,765,2525,Java client by Fabric8,User-contributed Kubernetes API client library for Java by Fabric8,software,Single
766,766,2526,Java client by Amdatu,User-contributed Kubernetes API client library for Java by Amdatu,software,Single
767,767,2527,Node.js client by tenxcloud,User-contributed Kubernetes API client library for Node.js by tenxcloud,software,Single
768,768,2528,Node.js client by GoDaddy,User-contributed Kubernetes API client library for Node.js by GoDaddy,software,Single
769,769,2529,PHP client,User-contributed Kubernetes API client library for PHP,software,Single
770,770,2530,Another PHP client,User-contributed Kubernetes API client library for PHP,software,Single
771,771,2535,Ruby,A programming language,software,Single
772,772,2536,https://github.com/Ch00k/kubr,A Ruby client library for Kubernetes,software,Single
773,773,2537,Another Ruby client,A Ruby client library for Kubernetes,software,Single
774,774,2538,https://github.com/abonas/kubeclient,A Ruby client library for Kubernetes,software,Single
775,775,2539,Clojure,A programming language,software,Single
776,776,2540,https://github.com/yanatan16/clj-kubernetes-api,A Clojure client library for Kubernetes,software,Single
777,777,2541,Scala,A programming language,software,Single
778,778,2542,https://github.com/doriordan/skuber,A Scala client library for Kubernetes,software,Single
779,779,2543,Perl,A programming language,software,Single
780,780,2544,https://metacpan.org/pod/Net::Kubernetes,A Perl client library for Kubernetes,software,Single
781,781,2545,Fabric8 Java Client,A Java client library for Kubernetes,software,Single
782,782,2546,io.fabric8.kubernetes.api.model.Pod,A Kubernetes Pod object,software,Single
783,783,2547,io.fabric8.kubernetes.api.model.PodList,A list of Kubernetes Pods,software,Single
784,784,2548,DefaultKubernetesClient,A default Kubernetes client,software,Single
785,785,2549,KubernetesClient,A Kubernetes client interface,software,Single
786,786,2551,inNamespace,A method to get pods in a specific namespace,software,Single
787,787,2553,getItems,A method to get the items in a pod list,software,Single
788,788,2554,stream,A method to stream the results of an operation,software,Single
789,789,2555,forEach,A method to iterate over a collection,software,Single
790,790,2556,getMetadata,A method to get the metadata of an object,software,Single
791,791,2557,getName,A method to get the name of an object,software,Single
792,792,2558,createNew,A method to create a new pod,software,Single
793,793,2562,addToLabels,A method to add labels to a pod,command,Single
794,794,2563,endMetadata,A method to end metadata for a pod,command,Single
795,795,2564,done,A method to indicate the completion of an operation,command,Single
796,796,2565,System.out.println,A statement to print output to the console,statement,Single
797,797,2566,Thread.sleep,A method to pause execution for a specified time,method,Single
798,798,2567,client.pods().inNamespace,A method to access pods in a specific namespace,command,Single
799,799,2570,Swagger API,An API framework for generating client libraries and documentation,framework,Single
800,800,2571,OpenAPI spec,A specification for defining APIs in a machine-readable format,specification,Single
801,801,2572,Swagger UI,A web-based interface for exploring and interacting with REST APIs,interface,Single
802,802,2580,CPU requests and limits,CPU requests and limits refer to the amount of CPU resources allocated to a pod.,resource,Single
803,803,2581,memory requests and limits,Memory requests and limits refer to the amount of memory resources allocated to a pod.,resource,Single
804,804,2589,client libraries,Client libraries are pre-built libraries that provide a simple interface for interacting with Kubernetes.,library,Single
805,805,2595,config data,secret and non-secret configuration data passed to pods,software,Single
806,806,2596,microservices,smaller components that make up a full-fledged system,application,Single
807,807,2599,Deployment resources,Kubernetes resources used by Deployments to manage applications,software,Single
808,808,2600,rolling updates,the process of updating pods with newer versions while minimizing downtime,process,Single
809,809,2601,rollouts,the process of deploying new versions of an application,process,Single
810,810,2602,reverting,the process of reverting pods to a previous version,process,Single
811,811,2618,Downtime,Short period of time when the application is not available due to updates,hardware,Single
812,812,2633,set selector,A command used to update the pod selector of a Service resource.,software,Single
813,813,2638,NodeJS,programming language and runtime environment,software,Single
814,814,2666,get svc kubia,kubectl command to retrieve information about a service named 'kubia',software,Single
815,815,2668,cluster-ip,unique IP address assigned to a Service within a Kubernetes cluster,network,Single
816,816,2669,external-ip,"publicly accessible IP address of a Service, used for accessing the application from outside the cluster",network,Single
817,817,2675,IfNotPresent,imagePullPolicy value that only pulls an image if it's not already present in the local cache,software,Single
818,818,2680,response.end(),"method for sending a response back to the client, used in Node.js applications",programming language,Single
819,819,2686,kubia-v2,The image name for the kubia app version 2.,software,Single
820,820,2707,--v option,A kubectl flag that enables verbose logging,command,Single
821,821,2712,Kubernetes master,the central component of a Kubernetes cluster,hardware,Single
822,822,2719,verbose logging option,an option for running kubectl commands with detailed logging,software,Single
823,823,2733,kubia-deployment-v1.yaml,A YAML manifest that defines a Deployment resource.,file,Single
824,824,2738,kubia Service,A service that provides access to the kubia app,application,Single
825,825,2740,--record,An option used to record the command in the revision history,command,Single
826,826,2741,kubectl get deployment,A command used to see details of the Deployment,command,Single
827,827,2743,kubectl rollout status deployment kubia,A command used to check the status of a Deployment's rollout,command,Single
828,828,2746,kubia-1506449474-otnnh,A pod created by the Deployment,software,Single
829,829,2747,kubia-1506449474-vmn7s,A pod created by the Deployment,software,Single
830,830,2748,kubia-1506449474-xis6m,A pod created by the Deployment,software,Single
831,831,2757,Recreate strategy,"A deployment strategy that deletes all old pods at once and then creates new ones, similar to modifying a ReplicationController's pod template.",software,Single
832,832,2758,RollingUpdate strategy,The default deployment strategy that performs a rolling update by replacing one or more replicas with new ones while keeping the overall number of replicas constant.,software,Single
833,833,2763,kubectl patch command,A command for modifying a single property or limited number of properties of a resource without editing its definition in a text editor,command,Single
834,834,2764,minReadySeconds attribute,An attribute that can be set on a Deployment to slow down the update process,attribute,Single
835,835,2765,Deployment spec,"The specification of a Deployment, which includes properties like desired replica count and deployment strategy",specification,Single
836,836,2766,kubectl set image command,A command for changing the image used in a container (like Deployments),command,Single
837,837,2767,nodejs container,A container that runs the Node.js application,container,Single
838,838,2771,Image registry,A place where images are stored,database,Single
839,839,2780,kubectl patch,A command to modify individual properties of an object,command,Single
840,840,2782,kubectl replace,A command to replace an object with a new one from a YAML/JSON file,command,Single
841,841,2783,kubia-deployment-v2.yaml,A YAML file containing the full definition of a resource,file,Single
