,entity,description,category,node_occurence_flag
1815,docker run,Command to run a Docker container,command,Multi
1818,CMD,Docker instruction to set the default command,instruction,Multi
1819,ENTRYPOINT,Docker instruction to set the executable,instruction,Multi
1820,command,Kubernetes field to override the ENTRYPOINT,field,Multi
1821,args,Kubernetes field to pass custom arguments,field,Multi
1822,Pod,Kubernetes resource to run a container,resource,Multi
1825,fortune-pod.yaml,Kubernetes pod definition file,file,Multi
1827,apiVersion,Kubernetes field to specify the API version,field,Multi
1828,kind,Kubernetes field to specify the resource type,field,Multi
1829,metadata,Kubernetes field to specify metadata for the pod,field,Multi
1830,name,Field to specify the name of the pod,field,Multi
1831,args,an array of command-line arguments passed to the container,container,Multi
1832,image,the Docker image used by the container,container,Multi
1835,pod,the basic execution unit in Kubernetes,application,Multi
1836,container,a lightweight and standalone executable package of software,container,Multi
1837,environment variables,"configuration options for a container, set as key-value pairs",container,Multi
1842,environment variables,Variables that can be set outside of a container to configure its behavior,software,Multi
1843,INTERVAL,Environment variable used to specify the interval between fortune generation,software,Multi
1844,bash,Unix shell scripting language used in the fortuneloop.sh script,software,Multi
1848,/var/htdocs,Directory where the fortune index.html file is written,hardware,Multi
1850,sleep,Bash command used to pause execution for a specified interval,software,Multi
1855,Kubernetes,Container orchestration system used to run the fortune container,software,Multi
1856,Pod,Kubernetes object used to define a running instance of a container,software,Multi
1858,env,Key in the container definition YAML file used to specify environment variables,software,Multi
1859,name,Key in the env list used to specify the name of an environment variable,hardware,Multi
1860,value,Key in the env list used to specify the value of an environment variable,software,Multi
1861,ConfigMaps,a map containing key/value pairs with the values ranging from short literals to full config files,database,Multi
1862,Secrets,configuring applications,application,Multi
1863,environment variables,variables used by containers to configure their behavior,process,Multi
1865,pod definition,a descriptor that defines how to compose individual components into a functioning system,application,Multi
1869,valueFrom,a field used to pass the contents of a ConfigMap as environment variables,database,Multi
1870,value,a field used to set a fixed value for an environment variable,process,Multi
1871,name,a key in a ConfigMap or Secret,database,Multi
1872,args,attributes used to configure the behavior of containers,process,Multi
1873,command,attributes used to configure the behavior of containers,process,Multi
1874,ConfigMap,a standalone object to store configuration data,software,Multi
1875,environment variables,variables that can be referenced in command-line arguments,process,Multi
1877,ConfigMap entries,entries within a ConfigMap that can be passed to processes as command-line arguments,software,Multi
1878,pod specification,a specification for creating pods that reference a ConfigMap,application,Multi
1879,pods,containers that use a ConfigMap through environment variables and config volumes,container,Multi
1886,ConfigMaps,a way to store and manage configuration data in Kubernetes,software,Multi
1887,kubectl,the command-line tool for interacting with a Kubernetes cluster,software,Multi
1891,ConfigMap entries,can be defined using literals or by creating the ConfigMap from files stored on disk,software,Multi
1894,metadata,"information about the creation of a ConfigMap, including its timestamp, namespace, and resource version",hardware,Multi
1895,apiVersion,the version of the Kubernetes API being used to interact with a ConfigMap,software,Multi
1896,data,the actual configuration data stored in a ConfigMap,software,Multi
1897,sleep-interval,a specific key-value pair stored in the fortune-config ConfigMap,hardware,Multi
1898,fortune-config,the name of the ConfigMap being created and referenced throughout the example,software,Multi
1899,ConfigMap,A Kubernetes object that stores configuration data,software,Multi
1900,kubectl,The Kubernetes command-line tool,software,Multi
1901,YAML,A human-readable serialization format,software,Multi
1903,ConfigMaps,A type of Kubernetes object that stores configuration data,software,Multi
1907,foo.json,A JSON file used to create a ConfigMap,file,Multi
1911,ConfigMaps,a way to store configuration data as key-value pairs,software,Multi
1912,Secrets,a way to store sensitive information such as passwords or API keys,software,Multi
1913,Pod,"the basic execution unit in Kubernetes, a container running an application",container,Multi
1914,apiVersion,a field in the pod descriptor that specifies the API version,software,Multi
1915,kind,"a field in the pod descriptor that specifies the type of resource (in this case, a Pod)",software,Multi
1916,valueFrom,a field used to specify the source of an environment variable,software,Multi
1917,ConfigMap,a way to store configuration data as key-value pairs,software,Multi
1919,foo.json,a file containing configuration data in JSON format,file,Multi
1920,bar,a value stored in the ConfigMap,string,Multi
1922,debug,a key-value pair stored in the ConfigMap,software,Multi
1928,ConfigMap,A Kubernetes resource that stores configuration data as key-value pairs.,software,Multi
1929,Pod,"The basic execution unit in a Kubernetes cluster, representing a running instance of an application.",application,Multi
1930,Container,A lightweight and standalone executable package that includes everything needed to run an application.,container,Multi
1932,environment variable,A variable that can be set and accessed by processes within a container.,process,Multi
1933,INTERVAL,An environment variable used to store the sleep interval value.,environment variable,Multi
1934,fortune-config,A ConfigMap that stores configuration data for the fortune application.,ConfigMap,Multi
1935,sleep-interval,The key in the fortune-config ConfigMap that stores the sleep interval value.,ConfigMapKeyRef,Multi
1936,html-generator,A container that generates HTML content for the fortune application.,Container,Multi
1937,web-server,A container that serves web content for the fortune application.,Container,Multi
1938,fortuneloop.sh,A process that runs a loop to generate fortune messages.,process,Multi
1939,ConfigMaps,A way to expose all entries of a ConfigMap as environment variables at once.,software,Multi
1940,Kubernetes,An open-source container orchestration system.,software,Multi
1941,ConfigMap,A Kubernetes resource that stores configuration data as key-value pairs.,software,Multi
1943,env,A way to set environment variables in a container.,software,Multi
1950,ConfigMap,a Kubernetes resource that stores configuration data,software,Multi
1951,Pod,the basic execution unit in a Kubernetes cluster,software,Multi
1952,configMapKeyRef,a reference to a key in a ConfigMap,software,Multi
1953,env,an environment variable in a container,software,Multi
1954,INTERVAL,an environment variable that stores an integer value,software,Multi
1956,volume,a storage resource in a container,software,Multi
1957,file,a file that stores the value of a ConfigMap entry,software,Multi
1958,process,the running program in a container,software,Multi
1959,container,a lightweight and standalone execution environment,software,Multi
1960,web-server,a container that runs a web server,software,Multi
1961,html-generator,a container that generates HTML content,software,Multi
1962,fortuneloop.sh,a script that runs the fortune program with arguments,software,Multi
1963,image,the base image for a container,software,Multi
1965,ConfigMaps,a way to pass large config files to a container,software,Multi
1966,kubectl,command-line tool for managing Kubernetes resources,software,Multi
1967,ConfigMap,a resource in Kubernetes that stores configuration data,software,Multi
1968,fortune-config,name of the ConfigMap created in the example,software,Multi
1972,gzip compression,feature of Nginx that compresses responses sent to clients,software,Multi
1980,my-nginx-config.conf,Nginx config file created in the example,software,Multi
1981,sleep-interval,file containing the sleep interval value used in the example,software,Multi
1982,ConfigMap,A Kubernetes resource that stores configuration data as key-value pairs.,software,Multi
1983,kubectl,The command-line tool for interacting with a Kubernetes cluster.,command,Multi
1984,apiVersion,A field in the YAML definition of a ConfigMap that specifies the API version.,field,Multi
1985,data,A field in the YAML definition of a ConfigMap that stores key-value pairs.,field,Multi
1986,my-nginx-config.conf,The name of an entry in the ConfigMap that holds the Nginx configuration file's contents.,file,Multi
1987,sleep-interval,The name of an entry in the ConfigMap that holds a value for a sleep interval.,field,Multi
1989,volume,A Kubernetes resource that provides storage for a pod.,hardware,Multi
1992,Nginx,A web server software that can be used in a Kubernetes pod.,software,Multi
1993,pod descriptor,The YAML definition of a pod that uses a ConfigMap's entries.,software,Multi
1994,ConfigMaps,a feature in Kubernetes that allows you to store and manage configuration data as a separate entity from the application code,software,Multi
1995,Secrets,a feature in Kubernetes that allows you to store sensitive information such as passwords or API keys securely,software,Multi
1996,Pod,"the basic execution unit in Kubernetes, a pod is a logical host for one or more containers",container,Multi
1997,containers,a lightweight and standalone executable package of software that includes everything needed to run an application,container,Multi
1998,image,"a read-only template used to create a container, in this case, the nginx:alpine image is used",software,Multi
1999,volumeMounts,the process of mounting a volume into a container,process,Multi
2000,volumes,a directory or file system that can be shared among containers in the same pod,container,Multi
2001,configMap,a feature in Kubernetes that allows you to store and manage configuration data as a separate entity from the application code,software,Multi
2002,fortune-config,a ConfigMap used to configure the web server,software,Multi
2003,nginx,a popular open-source web server software,software,Multi
2004,curl,a command-line tool for transferring data with URLs,command,Multi
2006,ConfigMap,a Kubernetes resource that stores configuration data as a key-value pair,software,Multi
2007,kubectl,the command-line tool for interacting with a Kubernetes cluster,software,Multi
2008,port-forward,a kubectl command to forward traffic from the local machine to a pod,software,Multi
2009,ConfigMap volume,a type of persistent volume that stores configuration data as files,software,Multi
2010,nginx,a web server software,software,Multi
2012,ConfigMap entries,individual key-value pairs within a ConfigMap,software,Multi
2014,volume,a persistent storage resource that can be mounted to a pod,hardware,Multi
2015,configMap,a Kubernetes resource that stores configuration data as a key-value pair,software,Multi
2016,fortune-config,a ConfigMap resource with specific entries,software,Multi
2018,my-nginx-config.conf,a file containing nginx configuration data,file,Multi
2019,sleep-interval,an environment variable that stores a sleep interval value,environment variable,Multi
2020,ConfigMaps,a feature in Kubernetes that allows you to store and manage configuration data as key-value pairs,software,Multi
2021,Secrets,a feature in Kubernetes that allows you to store sensitive information such as passwords or API keys,software,Multi
2022,pod,"the basic execution unit in Kubernetes, which can contain one or more containers",application,Multi
2023,container,a lightweight and standalone executable package that includes an application and its dependencies,software,Multi
2024,/etc/nginx/conf.d directory,a directory in the container image that contains configuration files for Nginx,directory,Multi
2028,ConfigMap volume,a type of persistent storage in Kubernetes that stores configuration data as key-value pairs,software,Multi
2030,/etc/nginx/conf.d directory,a directory in the container image that contains configuration files for Nginx,directory,Multi
2031,ConfigMap,A Kubernetes resource that stores non-sensitive configuration data as key-value pairs.,software,Multi
2032,volume,A block of storage that can be mounted into a pod.,hardware,Multi
2035,defaultMode,A property used to set the default file mode for a ConfigMap volume.,software,Multi
2036,ConfigMaps,Used for non-sensitive configuration data.,software,Multi
2037,volumes,A list of block storage resources that can be mounted into a pod.,hardware,Multi
2038,configMap,A Kubernetes resource that stores non-sensitive configuration data as key-value pairs.,software,Multi
2039,fortune-config,The name of a ConfigMap used for demonstration purposes.,software,Multi
2040,process,A running instance of an application or service.,application,Multi
2041,container,A lightweight and standalone execution environment for an application or service.,software,Multi
2042,pod,"The basic execution unit in Kubernetes, consisting of one or more containers.",application,Multi
2043,ConfigMaps,A ConfigMap is an object that stores configuration data as key-value pairs.,software,Multi
2044,kubectl edit,A command used to edit a ConfigMap and have the process running in the pod reload the files exposed in the configMap volume.,command,Multi
2046,gzip compression,A feature of Nginx that can be enabled or disabled by editing a ConfigMap.,process,Multi
2048,ConfigMap volume,A directory that contains the files exposed in a ConfigMap.,directory,Multi
2049,kubectl exec,A command used to execute a command inside a container running in a pod.,command,Multi
2053,Kubernetes,An open-source container orchestration system.,software,Multi
2054,Secrets,passing sensitive data to containers,software,Multi
2055,ConfigMap,a way to pass configuration data to containers,software,Multi
2056,Kubernetes,an orchestration system for containers,software,Multi
2057,containers,lightweight and standalone execution environment,software,Multi
2062,volumes,mounted into existing directories don't get updated,hardware,Multi
2063,pods,running instances being configured differently,software,Multi
2064,containers,configured differently—those pods that are created after the ConfigMap is changed will use the new config,software,Multi
2068,ConfigMaps,a separate object that holds key-value pairs for configuration data,software,Multi
2069,Secrets,"a map that hold key-value pairs, used to store sensitive information",software,Multi
2070,environment variables,variables passed to the container for configuration,process,Multi
2072,Kubernetes,a container orchestration system,software,Multi
2073,etcd,a distributed key-value store used by Kubernetes,database,Multi
2074,API server,the interface for interacting with the Kubernetes cluster,software,Multi
2075,pods,the basic execution unit in a Kubernetes cluster,container,Multi
2076,ConfigMap,a resource used to store non-sensitive configuration data,software,Multi
2077,Secret,a resource used to store sensitive information,software,Multi
2078,default-token Secret,a Secret that's mounted into every container by default,software,Multi
2079,kubectl,the command-line interface for interacting with a Kubernetes cluster,software,Multi
2080,kubectl describe,"Command used to learn more about a Kubernetes object, such as a Secret.",command,Multi
2081,secrets,"Kubernetes objects that store sensitive information, such as passwords or tokens.",application,Multi
2083,namespace,"A Kubernetes concept that groups resources, such as pods and services.",application,Multi
2084,token,A Secret object that contains a token used to authenticate with the Kubernetes API server.,object,Multi
2085,ca.crt,A file containing a certificate used for authentication with the Kubernetes API server.,file,Multi
2086,/var/run/secrets/kubernetes.io/serviceaccount,Directory where Secret volumes are mounted in pods.,directory,Multi
2087,default-token,Name of a Secret object that is mounted into every container by default.,object,Multi
2089,service account,A Kubernetes concept that provides an identity for pods to authenticate with the API server.,application,Multi
2090,kubectl exec,"Command used to execute a command in a pod, such as listing files in a directory.",command,Multi
2091,/var/run/secrets/kubernetes.io/serviceaccount/,Directory where Secret volumes are mounted in pods.,directory,Multi
2092,ConfigMaps,a feature in Kubernetes that allows you to store and retrieve configuration data,software,Multi
2093,Secrets,a feature in Kubernetes that allows you to store sensitive information such as passwords or certificates,software,Multi
2094,Nginx,a web server software,software,Multi
2095,certificate,an electronic document that verifies the identity of a website or organization,software,Multi
2096,private key,a secret code used to decrypt encrypted data,software,Multi
2097,kubectl,the command-line tool for interacting with a Kubernetes cluster,software,Multi
2100,Pod,the basic execution unit in a Kubernetes cluster,container,Multi
2101,Container,a lightweight and standalone executable package of software,container,Multi
2102,Filesystem,the hierarchical organization of files and directories on a computer system,hardware,Multi
2103,/var/run/secrets/kubernetes.io/serviceaccount/,a directory path in the Filesystem,filesystem,Multi
2104,default-token Secret,a Secret created automatically by Kubernetes to store a default token,software,Multi
2105,volume,a directory in the Filesystem that is shared among multiple containers,hardware,Multi
2106,ca.crt,a file containing a certificate authority's public key,file,Multi
2107,namespace,a way to group resources in a Kubernetes cluster,software,Multi
2108,token,a secret code used for authentication and authorization,software,Multi
2109,Secret,a generic Secret used to pass sensitive data to containers,software,Multi
2110,kubectl,a command-line tool for interacting with Kubernetes,application,Multi
2112,ConfigMaps,a type of object used to store sensitive data,software,Multi
2113,YAML,a human-readable serialization format,format,Multi
2114,JSON,"a lightweight, text-based data interchange format",format,Multi
2118,apiVersion,a field in the YAML definition of a Secret or ConfigMap,field,Multi
2119,data,a field in the YAML definition of a Secret or ConfigMap,field,Multi
2120,foo,an entry name in the Secret,field,Multi
2121,https.cert,an entry name in the Secret,field,Multi
2122,https.key,an entry name in the Secret,field,Multi
2123,my-nginx-config.conf,an entry name in the ConfigMap,field,Multi
2124,sleep-interval,an entry name in the ConfigMap,field,Multi
2125,ConfigMaps,a way to store and manage application configuration data,software,Multi
2126,Secrets,"a way to store sensitive information, such as passwords or certificates",software,Multi
2128,kubectl,a command-line tool for managing Kubernetes resources,application,Multi
2129,apiVersion,a field in a Kubernetes resource that specifies the API version,software,Multi
2130,kind,a field in a Kubernetes resource that specifies the type of resource,software,Multi
2131,data,a field in a Secret that stores sensitive information,software,Multi
2132,foo,an example entry in the stringData field,software,Multi
2133,https.cert,a certificate stored in a Secret,software,Multi
2134,https.key,a key stored in a Secret,software,Multi
2136,pod,a lightweight and portable container that can run a single application,container,Multi
2137,secret volume,a way to expose a Secret to a container through a file,software,Multi
2138,environment variable,a way to expose a Secret to a container through a variable,software,Multi
2139,Nginx,a web server software,application,Multi
2141,ConfigMap,a way to store and manage application configuration data,software,Multi
2143,my-nginx-config.conf,a configuration file for Nginx,file,Multi
2153,/usr/share/nginx/html,Path to document root directory,hardware,Multi
2154,root,Nginx configuration directive,software,Multi
2156,sleep-interval,Environment variable for sleep interval,software,Multi
2158,fortune-https,Name of the pod,software,Multi
2161,metadata,Metadata for the pod,software,Multi
2163,spec,Specification for the pod,software,Multi
2164,containers,List of containers in the pod,hardware,Multi
2166,html-generator,Name of the html-generator container,hardware,Multi
2167,env,Environment variables for the html-generator container,software,Multi
2168,INTERVAL,Environment variable for sleep interval,hardware,Multi
2169,valueFrom,Source of the environment variable value,software,Multi
2170,configMapKeyRef,Reference to a config map key,hardware,Multi
2171,fortune-config,Name of the config map,software,Multi
2172,sleep-interval,Key for the sleep interval value in the config map,hardware,Multi
2173,volumeMounts,List of volume mounts for the html-generator container,software,Multi
2174,html,Name of the volume mount,hardware,Multi
2175,/var/htdocs,Path to the mounted volume,software,Multi
2176,mountPath,Path where the volume is mounted,hardware,Multi
2178,ports,List of ports exposed by the web-server container,hardware,Multi
2180,containerPort,a port number for a container,software,Multi
2181,volumes,a list of volumes attached to a pod,software,Multi
2182,emptyDir,a type of volume that stores data in memory,software,Multi
2183,configMap,a way to store and reference configuration files,software,Multi
2185,key,a unique identifier for a configMap item,software,Multi
2186,path,the file path for a configMap item,software,Multi
2187,secret,a way to store and reference sensitive data,software,Multi
2188,defaultMode,a property that sets the default permissions for secret files,software,Multi
2189,volume,a storage unit attached to a pod,hardware,Multi
2191,web-server,a container that serves web content,application,Multi
2192,html-generator,a container that generates HTML content,application,Multi
2193,fortune-https,a Secret that stores HTTPS certificates and keys,software,Multi
2194,default-token,a Secret that provides a default token for authentication,software,Multi
2195,pod,a logical unit of execution in Kubernetes,application,Multi
2196,environment variables,variables set by the operating system or container runtime,software,Multi
2197,INTERVAL,an environment variable that sets a sleep interval,software,Multi
2198,sleep-interval,a value for the INTERVAL environment variable,software,Multi
2199,Secrets,pass sensitive data to containers,software,Multi
2200,Nginx,web server,application,Multi
2201,kubectl,command-line tool for managing Kubernetes clusters,software,Multi
2202,port-forward,tunneling traffic from a local port to a pod's port,process,Multi
2203,curl,command-line tool for transferring data with URLs,software,Multi
2204,HTTPS,secure communication protocol,protocol,Multi
2208,ConfigMap,configuration data stored as key-value pairs,software,Multi
2209,environment variables,exposing individual entries from a Secret as environment variables,process,Multi
2211,ConfigMaps,a feature in Kubernetes that allows you to store and retrieve configuration data,software,Multi
2212,Secrets,a feature in Kubernetes that allows you to store sensitive information such as passwords or API keys,software,Multi
2213,environment variables,a way to pass values from the outside into a container,process,Multi
2214,configMapKeyRef,a way to refer to a ConfigMap in Kubernetes,command,Multi
2216,Kubernetes,an open-source container orchestration system,software,Multi
2217,Docker,a containerization platform,software,Multi
2220,Docker Hub,a public image registry and private repository service,software,Multi
2221,pod manifest,a file that defines a pod in Kubernetes,application,Multi
2222,imagePullSecrets,a field in the pod manifest that references a Secret for pulling images,command,Multi
2223,Secret,an object in Kubernetes that stores sensitive information,software,Multi
2225,Secret,a way to pass sensitive data to containers,software,Multi
2226,kubectl,command-line tool for interacting with Kubernetes,software,Multi
2228,mydockerhubsecret,name of the Secret holding Docker Hub credentials,software,Multi
2230,Pod,a container running in a Kubernetes cluster,software,Multi
2231,imagePullSecrets,field in Pod spec for specifying image pull Secrets,software,Multi
2232,mydockerhubsecret,name of the Secret specified in the Pod definition,software,Multi
2234,ServiceAccount,a way to add image pull Secrets to all pods automatically,software,Multi
2235,ConfigMaps,a way to decouple configuration from a pod specification,software,Multi
2236,Secrets,used to store sensitive data and deliver it securely to containers,software,Multi
2237,containers,lightweight and standalone execution environment,container,Multi
2238,pod definition,a way to define a pod's configuration,application,Multi
2239,command-line arguments,arguments passed to the main container process,process,Multi
2240,environment variables,variables set for a container,process,Multi
2242,API server,the server that manages the Kubernetes cluster,application,Multi
2244,pod metadata,information about the environment and other components in the cluster,software,Multi
2245,applications,programs that need information about their environment,application,Multi
2246,Kubernetes API server,server that provides information about resources deployed in the cluster,database,Multi
2247,Downward API,mechanism to pass information into containers,framework,Multi
2248,environment variables,variables that provide information about the environment,process,Multi
2249,DNS,domain name system for service discovery,network,Multi
2250,containers,isolated environments for applications,container,Multi
2251,kubectl proxy,tool to leave authentication and server verification to,command,Multi
2253,Downward API,A way to pass metadata about the pod and its environment through environment variables or files.,software,Multi
2254,Kubernetes,"An open-source container orchestration system for automating the deployment, scaling, and management of containers.",software,Multi
2255,Pod,A logical host in a Kubernetes cluster where one or more containers can run.,container,Multi
2256,Environment variables,Variables that are set outside the container and made available to the processes running inside it.,process,Multi
2257,ConfigMap,A Kubernetes resource that stores configuration data as key-value pairs.,database,Multi
2258,Secret,A Kubernetes resource that stores sensitive information such as passwords or OAuth tokens.,database,Multi
2259,ReplicaSet,A Kubernetes controller that ensures a specified number of replicas (identical copies) of a pod are running at any given time.,controller,Multi
2260,API server,The central component of the Kubernetes control plane that exposes the Kubernetes API.,software,Multi
2262,Metadata,"Data about the pod itself, such as its name, IP address, and labels.",database,Multi
2263,Status,"Information about the pod's current state, such as whether it is running or not.",database,Multi
2265,namespace,The namespace the pod belongs to,software,Multi
2266,node,The name of the node the pod is running on,hardware,Multi
2267,service account,The service account the pod is running under,software,Multi
2268,CPU requests,The CPU and memory requests for each container,process,Multi
2272,labels,The pod’s labels,software,Multi
2273,annotations,The pod’s annotations,software,Multi
2274,Downward API,A simpler alternative to acquire metadata,software,Multi
2275,environment variables,Variables passed to containers through environment variables,process,Multi
2276,Pod,The pod that contains the container,software,Multi
2277,container,A process running inside a pod,process,Multi
2278,API server,The server that manages access to cluster resources,hardware,Multi
2279,manifest,A file that defines the configuration of a pod or other resource,software,Multi
2280,fieldRef,a reference to a field in the pod's metadata,kubernetes,Multi
2281,metadata.name,the name of the pod,kubernetes,Multi
2282,POD_NAMESPACE,an environment variable that holds the namespace of the pod,environment-variable,Multi
2283,fieldPath,a path to a field in the pod's metadata,kubernetes,Multi
2285,POD_IP,an environment variable that holds the IP address of the pod,environment-variable,Multi
2287,NODE_NAME,an environment variable that holds the name of the node,environment-variable,Multi
2288,spec.serviceAccountName,the name of the service account associated with the pod,kubernetes,Multi
2289,SERVICE_ACCOUNT,an environment variable that holds the name of the service account,environment-variable,Multi
2290,requests.cpu,the CPU request for the container,kubernetes,Multi
2291,CONTAINER_CPU_REQUEST_MILLICORES,an environment variable that holds the CPU request for the container,environment-variable,Multi
2292,limits.memory,the memory limit for the container,kubernetes,Multi
2293,CONTAINER_MEMORY_LIMIT_KIBIBYTES,an environment variable that holds the memory limit for the container,environment-variable,Multi
2294,resourceFieldRef,a reference to a resource field in the pod's metadata,kubernetes,Multi
2296,Downward API,A Kubernetes feature that allows passing metadata through environment variables.,software,Multi
2299,kubectl exec,A command to execute a command in a running pod.,command,Multi
2300,Pod,A Kubernetes object that represents a logical host.,application,Multi
2301,Container,A lightweight and standalone execution environment.,container,Multi
2302,Environment variables,Variables passed to the container through the Downward API.,process,Multi
2303,PATH,An environment variable that specifies the search path for executables.,environmental variable,Multi
2304,HOSTNAME,An environment variable that specifies the hostname of the pod.,environmental variable,Multi
2305,CONTAINER_MEMORY_LIMIT_KIBIBYTES,An environment variable that specifies the memory limit for the container in kibibytes.,environmental variable,Multi
2307,POD_NAMESPACE,An environment variable that specifies the namespace of the pod.,environmental variable,Multi
2308,POD_IP,An environment variable that specifies the IP address of the pod.,environmental variable,Multi
2309,NODE_NAME,An environment variable that specifies the name of the node running the pod.,environmental variable,Multi
2310,SERVICE_ACCOUNT,An environment variable that specifies the service account associated with the pod.,environmental variable,Multi
2311,CONTAINER_CPU_REQUEST_MILLICORES,An environment variable that specifies the CPU request for the container in millicores.,environmental variable,Multi
2312,KUBERNETES_SERVICE_HOST,An environment variable that specifies the hostname of the Kubernetes service.,environmental variable,Multi
2313,KUBERNETES_SERVICE_PORT,An environment variable that specifies the port number of the Kubernetes service.,environmental variable,Multi
2314,pod,A container running on a Kubernetes cluster,container,Multi
2315,metadata,"Information about the pod, such as its name and labels",resource,Multi
2316,environment variables,Variables set by the pod that can be accessed by processes inside the container,process,Multi
2317,downwardAPI volume,A way to expose metadata from the pod to the container through files,volume,Multi
2318,labels,"Key-value pairs that describe the pod, such as its name and namespace",metadata,Multi
2319,annotations,"Additional information about the pod, such as its key-value pairs",metadata,Multi
2320,fieldRef,A reference to a field in the pod's metadata,resource,Multi
2321,fieldPath,The path to a field in the pod's metadata,resource,Multi
2322,volumes,"Resources that can be mounted into the container, such as downwardAPI volumes",resource,Multi
2323,volumeMounts,The way to mount a volume into the container,process,Multi
2324,container,A process running inside the pod,process,Multi
2325,cpu,A unit of measurement for computing resources,resource,Multi
2326,memory,A unit of measurement for memory resources,resource,Multi
2327,Downward API,A Kubernetes feature that allows passing metadata from a pod or container to a file within the container.,Kubernetes,Multi
2328,labels,Metadata labels associated with a pod or container.,Kubernetes,Multi
2329,annotations,Metadata annotations associated with a pod or container.,Kubernetes,Multi
2330,containerCpuRequestMilliCores,"The CPU request for a container, measured in milli-cores.",Container Resource,Multi
2331,containerMemoryLimitBytes,"The memory limit for a container, measured in bytes.",Container Resource,Multi
2332,volume,A Kubernetes resource that allows sharing data between containers or pods.,Kubernetes,Multi
2333,downwardAPI volume,A specific type of volume that passes metadata from a pod or container to a file within the container.,Kubernetes,Multi
2334,pod manifest,"A YAML or JSON file that defines a pod's configuration, including its metadata and containers.",Kubernetes,Multi
2335,metadata,"Information about a pod or container, such as its name, namespace, labels, and annotations.",Kubernetes,Multi
2340,busybox,A lightweight Linux distribution used as a container image.,Container Image,Multi
2341,sleep,A command that pauses the execution of a process for a specified amount of time.,Command,Multi
2342,kubectl,command to execute a command inside a pod,software,Multi
2343,exec,subcommand to execute a command inside a pod,software,Multi
2344,downwardAPI,volume that exposes pod metadata and other resources,software,Multi
2346,annotations,file containing pod annotations,file,Multi
2347,containerCpuRequestMilliCores,file containing container CPU request in milli-cores,file,Multi
2348,containerMemoryLimitBytes,file containing container memory limit in bytes,file,Multi
2349,labels,file containing pod labels,file,Multi
2352,defaultMode,property to change file permissions through downwardAPI volume,software,Multi
2353,configMap,volume that exposes configuration data,software,Multi
2354,secret,volume that exposes sensitive information,software,Multi
2358,Kubernetes API server,The central component that manages and coordinates all Kubernetes resources.,application,Multi
2360,resourceFieldRef,A reference to a field in the Kubernetes API server that specifies a container's resource limit or request.,command,Multi
2362,volumes,A way to expose a container's resource fields to other containers in the same pod.,feature,Multi
2363,Downward API,A feature that allows passing certain pod and container metadata to processes running inside them.,feature,Multi
2364,environment variables,A way for a container to pass its own resource limits and requests to other containers in the same pod.,mechanism,Multi
2365,Kubernetes API server,The central component that manages and coordinates all Kubernetes resources.,application,Multi
2366,metadata,"Information about a pod or container, such as resource limits or requests.",metadata,Multi
2367,container,A lightweight and standalone executable binary that contains an application and its dependencies.,process,Multi
2368,pod,"The basic execution unit in Kubernetes, which can contain one or more containers.",process,Multi
2369,pod metadata,Information about pods,application,Multi
2370,services,Kubernetes service-related environment variables or DNS,application,Multi
2371,API server,Kubernetes API server,application,Multi
2374,curl,Command to access API server directly,command,Multi
2375,kubectl proxy,Command to run a proxy server for API server,command,Multi
2376,API objects,Kubernetes API objects,application,Multi
2377,container,Container in Kubernetes,hardware,Multi
2378,pod,Pod in Kubernetes,hardware,Multi
2380,kubectl,command to run the proxy,software,Multi
2382,API server URL,URL of the Kubernetes API server,network,Multi
2384,curl,command to send HTTP requests,software,Multi
2385,localhost:8001,local port used by the proxy,network,Multi
2386,/api,API path for Kubernetes API server,network,Multi
2388,/apis,API path for Kubernetes API groups,network,Multi
2394,Pods,Kubernetes resource type,software,Multi
2395,Services,Kubernetes resource type,software,Multi
2396,ReplicationControllers,Kubernetes resource type,software,Multi
2397,Jobs,Kubernetes resource type,software,Multi
2398,Kubernetes,Container orchestration system,software,Multi
2401,Job resource,Resource type in batch/v1 API group,software,Multi
2403,curl,Command-line tool for transferring data,command,Multi
2404,localhost:8001,Localhost address with port 8001,hardware/network,Multi
2406,Job,Resource type in batch/v1 API group,software,Multi
2407,v1,Version of the batch API group,software,Multi
2409,Kubernetes API server,API server that returns a list of resource types and REST endpoints,software,Multi
2410,verbs,"list of allowed actions (create, delete, get, etc.)",software,Multi
2411,create,action to create a resource,software,Multi
2412,delete,action to delete a resource,software,Multi
2413,get,action to retrieve a resource,software,Multi
2414,list,action to list all resources of a type,software,Multi
2415,patch,action to update a resource partially,software,Multi
2417,watch,action to watch for changes in a resource,software,Multi
2420,curl,command-line tool for transferring data with URL syntax,software,Multi
2421,Job,A Kubernetes resource that represents a set of related tasks.,application,Multi
2422,kubectl,A command-line tool for interacting with a Kubernetes cluster.,software,Multi
2424,pod,A lightweight and portable container that runs a single application instance.,container,Multi
2425,namespace,A way to group related resources in a Kubernetes cluster.,application,Multi
2426,curl,A command-line tool for transferring data with URLs.,software,Multi
2427,API server,The interface through which applications interact with the Kubernetes cluster.,application,Multi
2428,Job resource,A Kubernetes resource that represents a set of related tasks.,application,Multi
2430,default,The namespace in which the my-job Job instance is deployed.,namespace,Multi
2431,Kubernetes API server,The main entry point for interacting with Kubernetes resources,application,Multi
2432,Pod,"A logical host within a cluster, running one or more containers",container,Multi
